model,parameter,F,df_res,df_model,p_value,r_squared
QLearning,factual_lr,2.116410089574854,329.0,2.0,0.12210045346466745,0.012702290779383896
QLearning,counterfactual_lr,1.2561241218812154,329.0,2.0,0.28611755898139163,0.00757814607777374
QLearning,temperature,5.5017642573082055,329.0,2.0,0.004463771397230695,0.03236298329810827
ActorCritic,factual_actor_lr,0.03201406902784714,329.0,2.0,0.9684959728910126,0.0001945765339893546
ActorCritic,counterfactual_actor_lr,0.5908929496436957,329.0,2.0,0.5544191862859977,0.0035791977321482094
ActorCritic,critic_lr,0.22832364677374942,329.0,2.0,0.7959926409121546,0.001386061860638721
ActorCritic,temperature,2.181408392794772,329.0,2.0,0.11451249377517836,0.013087292781053028
Relative,factual_lr,0.3340740095984021,329.0,2.0,0.7162433883619278,0.002026729070464861
Relative,counterfactual_lr,0.702837376097663,329.0,2.0,0.49592023632337956,0.004254390464841662
Relative,contextual_lr,0.5138099550677394,329.0,2.0,0.5986912905465499,0.003113739118002612
Relative,temperature,2.6490076117679635,329.0,2.0,0.07222963502435518,0.01584818031298596
Hybrid2012+bias,factual_lr,1.5928779680248248,329.0,2.0,0.20490366100111568,0.009590284589634734
Hybrid2012+bias,counterfactual_lr,0.7575150484519532,329.0,2.0,0.46964592309617936,0.004583846297276484
Hybrid2012+bias,factual_actor_lr,0.2540859604795718,329.0,2.0,0.7757771853628543,0.0015422134085373296
Hybrid2012+bias,counterfactual_actor_lr,0.02342071835408505,329.0,2.0,0.976853046503674,0.00014235491975445047
Hybrid2012+bias,critic_lr,0.1947072658257452,329.0,2.0,0.8231703394431011,0.0011822314697185199
Hybrid2012+bias,temperature,1.2260163849827226,329.0,2.0,0.2947964333783465,0.007397851053962956
Hybrid2012+bias,mixing_factor,1.2358557977609523,329.0,2.0,0.29193136680341825,0.0074567798972179355
Hybrid2012+bias,valence_factor,0.3574009613755831,329.0,2.0,0.6997632123879252,0.0021679400457084164
Hybrid2021+bias+decay,factual_lr,3.7433126290555645,329.0,2.0,0.024689997607428724,0.02224939922164304
Hybrid2021+bias+decay,counterfactual_lr,0.4339194591163164,329.0,2.0,0.6483347248052291,0.0026308685353462202
Hybrid2021+bias+decay,factual_actor_lr,0.3867965572680177,329.0,2.0,0.6795377289035205,0.002345830990376996
Hybrid2021+bias+decay,counterfactual_actor_lr,0.13755364899795863,329.0,2.0,0.8715376876487149,0.0008354937615947522
Hybrid2021+bias+decay,critic_lr,0.15639556702972723,329.0,2.0,0.8552843699505491,0.0009498298957119067
Hybrid2021+bias+decay,temperature,1.2907709128770541,329.0,2.0,0.2764478324908128,0.0077855414132512735
Hybrid2021+bias+decay,mixing_factor,0.8049563091379439,329.0,2.0,0.44798602400869414,0.004869523135365594
Hybrid2021+bias+decay,noise_factor,0.7632755568529241,329.0,2.0,0.46696067783976847,0.0046185430748668654
Hybrid2021+bias+decay,valence_factor,0.07085768321493538,329.0,2.0,0.9316086771496981,0.00043056033256705373
Hybrid2021+bias+decay,decay_factor,0.7826613744240958,329.0,2.0,0.45803696974424457,0.0047352902471184954
